number,meaning
000,"請回憶起自己的本源，你始終與宇宙同在，你具備實現自己願望的能力。"
111,"能量的通道敞開了，你的思考會馬上成為現實。"
222,“抱持信念，你的願望很快就要被實現了！”
333,"請像揚升大師一樣，抱有堅強信念！"
444,"你身邊到處都是天使。我們都在你身邊。"
555,"很大的變化正要發生。"
666,"請放開對物質的恐懼，回到精神方面的思考吧！"
777,"請你不要畏懼孤獨，確實地往該前進的道路前進吧！"
888,"經濟方面的富裕在湧向你"
999,“你即將迎接新的轉折點。光之工作者們，去完成使命吧！"
101,"請相信自己，也相信宇宙。"

0404,"你被神級天使們的愛包圍著，留意從天而降的愛"
0808,"在你身旁有事物正要結束，這是神計劃的一部分，對你而言也是很重要的改變，若能克服這個改變，豐盛將隨之而來。"
1010,"神收到了你想改變現實的願望。請注意你的直覺，並接受神的指引吧。"
1100,"宇宙正在向你傳達。請你了解，你所在的現實都是從你內在所投影而成的世界。"
1111,"現在是思考容易變成現實的時期。"
1122,"你有著可以把理想變成現實的力量。請持有積極向前的思想。"
1133,"揚升大師們在幫助著你。幫助你持有正確的思考，繼續相信未來。"
1144,"請注意思考。要放手一切負面的想法，並把意識集中於你的願望上。"
1155,"要積極向前的把握變化。變化是為了讓你的人生更加美好而出現的。"
1166,"為了要充實你的世界，請利用內在的力量吧！所有事情都可能發生，請大膽使用這個力量吧！"
1177,"沒有最棒只有更棒！你的願望照著你的想像創建中！"
1188,"好消息！富裕和成功的浪潮會甬道你身邊！"
1199,"當你在考慮使命的事情時，或說話時，請採取正向思考。你的選擇會決定你的未來。為了完成使命，請讓內在充滿明朗的正能量吧！"
1212,"重要的是要繼續持有相信未來之心和向前踏出的勇氣。你的願望正在變成現實，請放心前進吧！"
1221,"你的信念和思考靠近現實話ㄈㄜ˙要繼續相信願望會實現。"
1222,"堅實地持有相信之心和勇氣。你的願望順利的開始往實現的方向前進了。"
1234,"把你的人生簡單化吧！放手一切不需要的東西。揚升大師和天使們也在祝你一臂之力。"
1313,"我們在你身邊。扔掉迷茫的心，往期望的世界前進吧。"
1331,"揚升大師們在推動你的思考。請在他們的幫助下，注意保持向前的思想。"
1333,"揚升大師們在你的身邊，祝你一臂之力。"
1414,"請不要擔心，天使在你我身旁。"
1441,"大天使約菲爾和其他很多天使們一同在幫助著你。匙有正面的思想不僅對自己，對世界也是非常好的事情。與天使們一同保持積極向上的思想吧！"
1444,"為了實現你所期望的未來，請慎重地選擇思考。"
1515,"你的思考正急速地往現實前進，有意義的人生變化即將到來。和持有正面思考的人們在一起，並遠離負面吧！"
1533,"引起變化也沒有關係。揚升大師在守護著你，請放心弟去引起變化吧。"
1551,"認可現在的你自己並且去愛吧。"
1555,"你正在經歷著人生中的大變化。請保持向前的思考，或像天使們祈求，讓這個變化給你帶來最好的結果。"
1616,"去停止對物質方面的擔心吧。將意識面向靈魂方面。"
1661,"請擴大你的意識，意識活著這件事。現在出現在眼前的是，一個可以讓你的心靈揚升的美好世界。請你意識人生的美好，擴大那人生美好的一面。"
1711,"內心充滿希望的你是最棒的！"
1717,"因為你做過了，所以到呢你接收禮物的時期了。成功之喜悅會到來。"
1771,"你的幸運之門已經打開，快抓緊這個時機將願望充滿你的腦中吧。"
1777,"你現在有個非常好的機運。所有的門已被開啟，事物也都往喜樂的方向發展。請期待努力回報的那一瞬間。"
1818,"準備好了嗎？富裕馬上就要到來了！"
1881,"你所散發出的正能量以豐盛的型態回饋於你。你的努力將獲得回報。"
1888,"你的人生中的一個階段要結束了。其結果，會把你人生中的負面的事情解除掉的。"
1919,"作為光之工作者完成使命的時期到了，回想誕生的目的，各自去進行工作吧！"
1999,"請讓你的使命覺醒吧！你已經具備可以完成使命的能力。"
10101,"請回想起守護著你的溫暖存在。"
11111,"你的思考變成現實的速度提高了，所以去想你所期望的事情吧。"
12345,"請藉助天使和揚升大師們的力量，把不需要的東西丟掉，把人生弄簡單吧！"
13131,"揚升大師們正圍繞在你的周圍，支持著你。需要幫助的時刻請不要客氣地求助於他們吧。"

202,"信仰的力量會讓壹切變為可能。"
212,"你越相信，你的生活就會越好。"
232,"請專注於大師們傾注到你身上的愛。"
242,"請堅定地相信一切都會很順利。"

2002,"現在正是你信仰的力量接受試煉的時候。"
2020,"不要忘記信仰！"
2022,"信仰的力量就是一切。"
2111,"注意思考的內容並多多想像光明的未來吧。"
2112,"請時常保持積極樂觀的思考。如此，你的人生也會變得像你渴望的那樣。"
2121,"請時常將意識集中在願望上。只要你不丟失信仰之心，你的未來將一直充滿光明。"
2200,"請與你的根源：宇宙進行對話。請通過對話傳達出你現在的苦惱吧。"
2202,"你堅信的力量不可或缺。請用積極的心態創造美好的未來吧。"
2202,"事物在正確的軌道上。保持這種狀態，對未來抱有希望吧！"
2211,"無論如何保持積極。"
2212,"起確保你的行動是積極正向的。相信希望能為你吸引來願望的實現。"
2233,"揚升大師們正圍繞在你身邊，並建議你保持強大的信念。"
2244,"天使們正支持著你去相信自己的力量。"
2255,"你所施放的正能量帶來了變化。通過這變化，你會朝著更好的方向前進。"
2277,"你的未來會如你所求的那樣充滿歡樂。"
2288,"順從直覺，可以踏上那條通往富裕的路。"
2299,"你正順利地走在通往使命的道路上。"
2323,"你的人生中有什麼東西正要發生變化。揚升大師是你的夥伴，在協助你創業未來。"
2332,"揚升大師們在向你傳達相信的重要性。在他們協助下，請相信未來的可能性吧。"
2424,"相信可以把一切變為可能。請繼續相信所有都在宇宙秩序下順利進展著。"
2442,"請回想起自己擁有的厲害之處。請回想起自己擁有使一切成為可能的力量吧。"
2525,"極好的變化正在到來。"
2552,"變化將會帶來更大的快樂！"
2626,"財務方面的擔心將被消除。"
2727,"你的行為是正確的，相信的效果正在順利地出現著。"
2772,"心中的希望正在幫助你走在正確的道路上。"
2777,"你所走的是正確的道路。請側耳傾聽上天的指引吧。"
2828,"富足將會自然流淌到你身邊。"
2888,"你的努力將會將富足引導至身邊。"
2929,"是光之使者站出來的時候了。請毫不猶豫地開始完成你的任務。"

303,"揚升大師在向你傳達保持自我的重要性。不必嘗試成為其他人。"
311,"你的創造工作有大師在協助。"
313,"揚升大師正在教導你實現理想的智慧。跟隨著他們往正確的方向前進吧。"
323,"你對大師們的信賴，正是他們能供給你的協助。"
393,"大師們正在回應你的祈禱。"
3003,"你並不是一個人，神與揚升大師就在你的身旁，因為他們與你緊緊相連，請好好與他們對話，一同走下去吧。"
3030,"天界正在傳達訊息給你。"
3033,"現在正是和大師們一起重新審視自己的時候。"
3044,"天界的與你同在。"
3055,"你的生活正在發生翻天覆地的好變化，跟隨這主變化，迎接新的生活吧。"
3113,"請和大師們一起共築偉大創造吧！"
3131,"揚升大師們正在你的思考方式上下功夫，以使你的願望成真。"
3223,"揚升大師正在堅定地支持著你。"
3232,"你的信仰之心吸引著揚升大師。如果你相信光明的未來，那就會成為現實。"
3311,"為了你的未來能更加美好，請記得要抱持著正面思考。"
3322,"你的心願已經傳達到了。只要相信願望一定會被成功實現就可以了。"
3330,"請傾聽揚升大師們的聲音，這樣停滯不前的人生就能得以前進。"
3331,"揚升大師們正在引導你積極的思考。"
3333,"你與揚升大師是同在的。"
3344,"天使和揚升大師們對你傾注了大量的愛。請感謝他們的存在並與你親近的同時，也不要忘記在需要時依靠他們吧。"
3355,"和大師們一起度過變化的浪潮吧。"
3366,"在你的物質生活方面有了明亮的徵兆。"
3377,"你與揚升大師一起在正確的道路上。"
3388,"因為你的學習與成長，揚升大師也贈與你禮物。請不要猶豫，收下這份成功與豐碩吧！"
3434,"有許多天使在守護著你。"
3443,"請更多的依靠圍繞在你身邊的天使吧！"
3535,"你現在正在經歷變化，揚升大師們也將守護著你。"
3553,"為了實現更加美好的人生，現在的生活正發生著變化。"
3555,"變化是讓你更接近理想的存在。"
3636,"由於意識過於偏向物質層面，讓我們將精神活動融入生活並取得平衡吧！"
3663,"大師們正在對你的祈禱進行回應。"
3737,"你正走在正確的道路上。"
3773,"你被來自大師的愛所引導著。"
3777,"你正在被大師們正確的引導著。"
3838,"請回想起你所擁有的創造的力量吧！"
3883,"富饒將會被帶到妳身邊。"
3888,"請傾聽揚升大師的聲音，如此就能得到豐碩的成果。"
3939,"你想要找出使命的心願已經傳達到揚升大師們那裡了。請傾聽內心的聲音，依照他們的指示吧。"

400,"無形的存在今天也支持著你。讓我們想起活著的感覺，並珍惜這份感受吧！"
404,"有了精神上的支持，你可以保持平靜的心態。它對你所看到的世界也有著積極的影響。"
414,"天使在你的身旁，並用各種主意傳授道路給你。儘管去執行吧！“
434,"請把未來交給天使們，生活在當下吧！"
454,"不要猶豫地踏入新世紀吧！"
4004,"請將新教果給看不見的存在吧！"
4040,"請記住，天上的人並不在天上，而在你心裡。"
4114,"排除你周遭的負面因素，去增加更多的正面能量吧。"
4141,"請集中意識在所期望的事情上面吧。"
4144,"請祝聖天使像你所發出的信號。"
4224,"請貫徹自己所相信的內容。"
4242,"心懷希望會產生好的變化。"
4321,"你的願望正在一步一步地成為現實。"
4334,"你並不是一個人。"
4343,"揚升大師在回應著你的祈禱。"
